"tick","uncolonized_count","colonized_count","infection_count","total_count"
751.1,42607,1359,12,43978
752.1,42606,1360,12,43978
753.1,42606,1359,13,43978
754.1,42607,1359,12,43978
755.1,42605,1360,13,43978
756.1,42604,1359,15,43978
757.1,42606,1358,14,43978
758.1,42605,1358,15,43978
759.1,42606,1358,14,43978
760.1,42606,1358,14,43978
761.1,42606,1357,15,43978
762.1,42607,1357,14,43978
763.1,42606,1357,15,43978
764.1,42606,1357,15,43978
765.1,42604,1358,16,43978
766.1,42606,1358,14,43978
767.1,42606,1358,14,43978
768.1,42606,1357,15,43978
769.1,42606,1357,15,43978
770.1,42606,1357,15,43978
771.1,42608,1355,15,43978
772.1,42607,1356,15,43978
773.1,42606,1357,15,43978
774.1,42607,1356,15,43978
775.1,42607,1356,15,43978
776.1,42607,1356,15,43978
777.1,42607,1355,16,43978
778.1,42608,1356,14,43978
779.1,42610,1354,14,43978
780.1,42610,1355,13,43978
781.1,42609,1356,13,43978
782.1,42609,1355,14,43978
783.1,42609,1355,14,43978
784.1,42610,1354,14,43978
785.1,42609,1356,13,43978
786.1,42609,1356,13,43978
787.1,42609,1355,14,43978
788.1,42610,1355,13,43978
789.1,42610,1356,12,43978
790.1,42612,1356,10,43978
791.1,42613,1356,9,43978
792.1,42613,1356,9,43978
793.1,42613,1356,9,43978
794.1,42613,1356,9,43978
795.1,42613,1357,8,43978
796.1,42614,1356,8,43978
797.1,42614,1356,8,43978
798.1,42613,1357,8,43978
799.1,42611,1359,8,43978
800.1,42611,1358,9,43978
801.1,42611,1358,9,43978
802.1,42612,1357,9,43978
803.1,42612,1356,10,43978
804.1,42612,1355,11,43978
805.1,42613,1355,10,43978
806.1,42613,1355,10,43978
807.1,42614,1353,11,43978
808.1,42613,1354,11,43978
809.1,42613,1352,13,43978
810.1,42613,1351,14,43978
811.1,42613,1351,14,43978
812.1,42612,1352,14,43978
813.1,42613,1352,13,43978
814.1,42613,1352,13,43978
815.1,42613,1352,13,43978
816.1,42612,1353,13,43978
817.1,42613,1351,14,43978
818.1,42616,1351,11,43978
819.1,42617,1349,12,43978
820.1,42615,1351,12,43978
821.1,42614,1351,13,43978
822.1,42614,1351,13,43978
823.1,42614,1351,13,43978
824.1,42614,1351,13,43978
825.1,42613,1350,15,43978
826.1,42612,1350,16,43978
827.1,42610,1352,16,43978
828.1,42610,1352,16,43978
829.1,42611,1352,15,43978
830.1,42612,1352,14,43978
831.1,42613,1351,14,43978
832.1,42615,1351,12,43978
833.1,42613,1353,12,43978
834.1,42613,1353,12,43978
835.1,42613,1353,12,43978
836.1,42612,1354,12,43978
837.1,42612,1355,11,43978
838.1,42609,1358,11,43978
839.1,42609,1358,11,43978
840.1,42609,1357,12,43978
841.1,42608,1358,12,43978
842.1,42607,1359,12,43978
843.1,42607,1358,13,43978
844.1,42609,1357,12,43978
