"tick","uncolonized_count","colonized_count","infection_count","total_count"
563.1,42678,1288,12,43978
564.1,42678,1287,13,43978
565.1,42678,1285,15,43978
566.1,42677,1286,15,43978
567.1,42677,1286,15,43978
568.1,42678,1286,14,43978
569.1,42679,1286,13,43978
570.1,42679,1287,12,43978
571.1,42678,1288,12,43978
572.1,42676,1290,12,43978
573.1,42676,1290,12,43978
574.1,42676,1289,13,43978
575.1,42676,1288,14,43978
576.1,42676,1288,14,43978
577.1,42677,1287,14,43978
578.1,42677,1287,14,43978
579.1,42677,1288,13,43978
580.1,42677,1288,13,43978
581.1,42675,1291,12,43978
582.1,42676,1290,12,43978
583.1,42676,1290,12,43978
584.1,42676,1289,13,43978
585.1,42676,1289,13,43978
586.1,42677,1289,12,43978
587.1,42677,1288,13,43978
588.1,42677,1288,13,43978
589.1,42677,1287,14,43978
590.1,42677,1286,15,43978
591.1,42678,1286,14,43978
592.1,42678,1286,14,43978
593.1,42678,1285,15,43978
594.1,42678,1283,17,43978
595.1,42677,1284,17,43978
596.1,42677,1284,17,43978
597.1,42678,1283,17,43978
598.1,42678,1282,18,43978
599.1,42679,1282,17,43978
600.1,42679,1281,18,43978
601.1,42678,1282,18,43978
602.1,42679,1281,18,43978
603.1,42681,1280,17,43978
604.1,42682,1280,16,43978
605.1,42682,1280,16,43978
606.1,42682,1280,16,43978
607.1,42683,1278,17,43978
608.1,42683,1278,17,43978
609.1,42681,1281,16,43978
610.1,42680,1282,16,43978
611.1,42678,1283,17,43978
612.1,42677,1284,17,43978
613.1,42676,1284,18,43978
614.1,42676,1284,18,43978
615.1,42677,1284,17,43978
616.1,42678,1284,16,43978
617.1,42679,1284,15,43978
618.1,42681,1284,13,43978
619.1,42680,1285,13,43978
620.1,42679,1286,13,43978
621.1,42679,1286,13,43978
622.1,42680,1285,13,43978
623.1,42680,1285,13,43978
624.1,42680,1285,13,43978
625.1,42681,1285,12,43978
626.1,42681,1285,12,43978
627.1,42682,1284,12,43978
628.1,42682,1285,11,43978
629.1,42682,1285,11,43978
630.1,42682,1285,11,43978
631.1,42682,1284,12,43978
632.1,42683,1284,11,43978
633.1,42683,1284,11,43978
634.1,42683,1284,11,43978
635.1,42682,1284,12,43978
636.1,42682,1285,11,43978
637.1,42683,1283,12,43978
638.1,42683,1283,12,43978
639.1,42683,1284,11,43978
640.1,42682,1285,11,43978
641.1,42683,1285,10,43978
642.1,42683,1285,10,43978
643.1,42683,1285,10,43978
644.1,42683,1285,10,43978
645.1,42685,1285,8,43978
646.1,42684,1286,8,43978
647.1,42684,1285,9,43978
648.1,42684,1285,9,43978
649.1,42685,1283,10,43978
650.1,42684,1284,10,43978
651.1,42684,1283,11,43978
652.1,42684,1282,12,43978
653.1,42683,1282,13,43978
654.1,42682,1284,12,43978
655.1,42681,1285,12,43978
656.1,42679,1288,11,43978
657.1,42678,1289,11,43978
658.1,42678,1289,11,43978
659.1,42678,1289,11,43978
660.1,42678,1289,11,43978
661.1,42679,1288,11,43978
662.1,42679,1288,11,43978
663.1,42678,1289,11,43978
664.1,42678,1288,12,43978
665.1,42678,1288,12,43978
666.1,42678,1288,12,43978
667.1,42677,1289,12,43978
668.1,42677,1289,12,43978
669.1,42675,1292,11,43978
670.1,42675,1292,11,43978
671.1,42676,1291,11,43978
672.1,42676,1290,12,43978
673.1,42676,1289,13,43978
674.1,42675,1289,14,43978
675.1,42676,1289,13,43978
676.1,42675,1290,13,43978
677.1,42675,1289,14,43978
678.1,42676,1288,14,43978
679.1,42676,1288,14,43978
680.1,42676,1288,14,43978
681.1,42676,1288,14,43978
682.1,42677,1287,14,43978
683.1,42677,1287,14,43978
684.1,42675,1289,14,43978
685.1,42675,1288,15,43978
686.1,42675,1288,15,43978
687.1,42677,1286,15,43978
688.1,42677,1286,15,43978
689.1,42677,1285,16,43978
690.1,42676,1284,18,43978
691.1,42677,1284,17,43978
692.1,42676,1285,17,43978
693.1,42675,1286,17,43978
694.1,42674,1287,17,43978
695.1,42676,1286,16,43978
696.1,42675,1287,16,43978
697.1,42674,1288,16,43978
698.1,42676,1287,15,43978
699.1,42675,1289,14,43978
700.1,42673,1291,14,43978
701.1,42675,1290,13,43978
702.1,42675,1290,13,43978
703.1,42676,1289,13,43978
704.1,42676,1288,14,43978
705.1,42676,1288,14,43978
706.1,42677,1288,13,43978
707.1,42677,1288,13,43978
708.1,42676,1289,13,43978
709.1,42676,1289,13,43978
710.1,42676,1287,15,43978
711.1,42676,1287,15,43978
712.1,42677,1284,17,43978
713.1,42678,1284,16,43978
714.1,42678,1284,16,43978
715.1,42678,1284,16,43978
716.1,42678,1282,18,43978
717.1,42678,1282,18,43978
718.1,42678,1282,18,43978
719.1,42678,1282,18,43978
